#   name_b      |    RA_b      |    DEC_b     |     spec-id     |    name_f       |    RA_f      |    DEC_f     |    spec-id      |   zb   |   zf   | theta |  R_com   |  S/N  |   gUV   |   ib  |  J2Mb |  H2Mb |  K2Mb | JABb  |  HABb |  KABb |   if  |  J2Mf |  H2Mf |  K2Mf | JABf  | HABf  |  KABf |   tel_b     |        tel_f
BOSSJ0003+0008A | 00:03:30.193 | +00:08:13.25 | 4217-0532-55478 | BOSSJ0003+0007B | 00:03:52.690 | +00:07:30.27 | 4217-0578-55478 |  2.589 |  2.044 | 340.1 | 8967.392 | -1.00 |      0. | 18.95 |  0.00 |  0.00 |  0.00 | 18.52 | 18.52 | 18.20 | 21.67 |  0.00 |  0.00 |  0.00 | 21.54 | 21.42 | 21.32 | SDSSBOSSKDEMADDOXVHSVCVALLBOSS | BOSS
BOSSJ0003-0437A | 00:03:35.890 | -04:37:46.16 | 7035-0570-56568 | BOSSJ0003-0445B | 00:03:41.761 | -04:45:35.86 | 7034-0160-56564 |  2.612 |  2.402 | 477.8 | 13753.19 | -1.00 |      0. | 20.08 |  0.00 |  0.00 |  0.00 | 19.64 | 19.65 | 19.41 | 20.23 |  0.00 |  0.00 |  0.00 | 19.86 | 19.78 | 19.39 | BOSS | SDSSBOSSXDQSOZVHSALLBOSS
SDSSJ0003+0036A | 00:03:49.612 | +00:36:47.46 | 0686-0348-52519 | BOSSJ0003+0026B | 00:03:29.318 | +00:26:46.14 | 4217-0564-55478 |  2.365 |  2.253 | 673.9 | 18749.12 | -1.00 |      0. |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 | 20.49 |  0.00 |  0.00 |  0.00 | 20.20 | 20.07 | 19.64 | SDSS | BOSS
SDSSJ0004-0043A | 00:04:39.575 | -00:43:19.35 | 0685-0037-52203 | SDSSJ0005-0033B | 00:05:00.426 | -00:33:48.29 | 0685-0049-52203 |  2.421 |  2.181 | 651.1 | 17796.89 | -1.00 |      1. | 20.13 |  0.00 |  0.00 |  0.00 | 19.75 | 19.68 | 19.29 | 18.39 |  0.00 |  0.00 |  0.00 | 18.17 | 18.01 | 17.59 | SDSS | SDSSAUSKDEXDQSOZMADDOXVHS
 APOJ0004-0844A | 00:04:50.661 | -08:44:49.63 |                 | BOSSJ0004-0850B | 00:04:24.167 | -08:50:48.04 | 7168-0632-56625 |  3.000 |  2.452 | 531.7 | 15469.93 | -1.00 |      1. | 20.79 |  0.00 |  0.00 |  0.00 | 20.34 | 20.43 | 20.36 | 18.57 | 17.97 | 18.08 | 18.00 | 18.18 | 18.12 | 17.73 | LRIS,XSHOOTER,MAGE,APO | SDSSBOSSKDEXDQSOZVCVALLBOSS
 APOJ0004-0844A | 00:04:50.907 | -08:44:51.98 |                 | BOSSJ0004-0850B | 00:04:24.167 | -08:50:48.04 | 7168-0632-56625 |  3.000 |  2.452 | 532.8 | 15502.38 | -1.00 |      1. | 21.90 |  0.00 |  0.00 |  0.00 | 21.45 | 21.54 | 21.46 | 18.57 | 17.97 | 18.08 | 18.00 | 18.18 | 18.12 | 17.73 | LRIS,XSHOOTER,MAGE,APO | SDSSBOSSKDEXDQSOZVCVALLBOSS
BOSSJ0006-0114A | 00:06:04.983 | -01:14:59.43 | 4217-0302-55478 | SDSSJ0005-0104B | 00:05:41.888 | -01:04:11.09 | 0686-0258-52519 |  2.497 |  2.118 | 735.0 | 19769.01 | -1.00 |      0. | 19.95 |  0.00 |  0.00 |  0.00 | 19.52 | 19.47 | 19.09 | 19.08 |  0.00 |  0.00 |  0.00 | 18.91 | 18.73 | 18.52 | SDSSBOSSXDQSOZALLBOSS | SDSSKDEXDQSOZVHS
BOSSJ0006+0026A | 00:06:14.002 | +00:26:05.07 | 4217-0681-55478 | BOSSJ0006+0028B | 00:06:39.172 | +00:28:21.04 | 4217-0722-55478 |  2.514 |  2.200 | 401.2 | 11019.90 | -1.00 |      1. | 20.13 |  0.00 |  0.00 |  0.00 | 19.64 | 19.59 | 19.22 | 19.51 |  0.00 |  0.00 |  0.00 | 19.23 | 19.08 | 18.65 | SDSSBOSSVCVALLBOSS | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS
BOSSJ0007+1506A | 00:07:21.451 | +15:06:21.15 | 6112-0552-56191 | BOSSJ0007+1516B | 00:07:24.082 | +15:16:57.70 | 6172-0060-56269 |  2.540 |  2.064 | 637.6 | 16900.50 | -1.00 |      0. | 21.82 |  0.00 |  0.00 |  0.00 | 21.33 | 21.29 | 20.93 | 18.76 |  0.00 |  0.00 |  0.00 | 18.54 | 18.41 | 18.30 | BOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS
BOSSJ0007+1516A | 00:07:24.082 | +15:16:57.70 | 6172-0060-56269 | BOSSJ0007+1508B | 00:07:59.402 | +15:08:22.67 | 6112-0548-56191 |  2.064 |  1.971 | 725.6 | 18736.12 | -1.00 |      0. | 18.76 |  0.00 |  0.00 |  0.00 | 18.54 | 18.41 | 18.30 | 18.95 |  0.00 |  0.00 |  0.00 | 18.79 | 18.70 | 18.57 | SDSSBOSSKDEXDQSOZVCVALLBOSS | SDSSBOSSKDEXDQSOZMADDOXVCVALLBOSS
BOSSJ0008-0051A | 00:08:38.302 | -00:51:56.81 | 4217-0180-55478 | BOSSJ0008-0053B | 00:08:39.316 | -00:53:36.80 | 4217-0135-55478 |  2.901 |  2.626 | 101.1 | 3046.707 | -1.00 |     29. | 19.67 |  0.00 |  0.00 |  0.00 | 19.25 | 19.34 | 19.27 | 19.30 |  0.00 |  0.00 |  0.00 | 18.87 | 18.90 | 18.72 | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS | SDSSBOSSKDEXDQSOZVHSALLBOSS
BOSSJ0008-0849A | 00:08:49.238 | -08:49:56.71 | 7169-0562-56628 | BOSSJ0009-0848B | 00:09:22.409 | -08:48:39.63 | 7169-0574-56628 |  2.604 |  2.356 | 497.6 | 14181.12 | -1.00 |      1. | 19.97 |  0.00 |  0.00 |  0.00 | 19.53 | 19.54 | 19.26 | 19.06 |  0.00 |  0.00 |  0.00 | 18.70 | 18.60 | 18.21 | SDSSBOSSVCVALLBOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS
