#   name_b      |    RA_b      |    DEC_b     |     spec-id     |    name_f       |    RA_f      |    DEC_f     |    spec-id      |   zb   |   zf   | theta |  R_com   |  S/N  |   gUV   |   ib  |  J2Mb |  H2Mb |  K2Mb | JABb  |  HABb |  KABb |   if  |  J2Mf |  H2Mf |  K2Mf | JABf  | HABf  |  KABf |   tel_b     |        tel_f
BOSSJ0150+0044A | 01:50:24.442 | +00:44:33.03 | 4233-0558-55449 | SDSSJ0150+0047B | 01:50:08.057 | +00:47:03.22 | 1504-0372-52940 |  1.999 |  1.957 | 288.0 | 7404.263 | -1.00 |      0. | 18.95 |  0.00 |  0.00 |  0.00 | 18.83 | 18.74 | 18.61 | 20.18 |  0.00 |  0.00 |  0.00 | 20.09 | 20.00 | 19.86 | SDSSAUSBOSSXDQSOZMADDOXVHSVCVALLBOSS | SDSSKDEXDQSOZVCV
BOSSJ0150+1324A | 01:50:54.629 | +13:24:35.88 | 4659-0746-55587 | BOSSJ0150+1330B | 01:50:32.733 | +13:30:28.48 | 4657-0464-55591 |  2.735 |  2.381 | 475.7 | 13631.98 | -1.00 |      2. | 19.03 |  0.00 |  0.00 |  0.00 | 18.52 | 18.63 | 18.55 | 18.59 |  0.00 |  0.00 |  0.00 | 18.16 | 18.07 | 17.68 | SDSSBOSSMADDOXVCVALLBOSS | SDSSBOSSKDEXDQSOZMADDOXALLBOSS
BOSSJ0151+1007A | 01:51:52.404 | +10:07:35.88 | 4530-0697-55564 | BOSSJ0151+1005B | 01:51:45.600 | +10:05:05.58 | 4530-0699-55564 |  5.275 |  5.188 | 180.7 | 7232.467 | -1.00 |     61. | 20.80 |  0.00 |  0.00 |  0.00 | 20.62 | 20.37 | 20.29 | 20.41 |  0.00 |  0.00 |  0.00 | 20.27 | 20.00 | 19.95 | BOSS | BOSS
BOSSJ0152-0057A | 01:52:09.380 | -00:57:16.87 | 4233-0390-55449 | SDSSJ0152-0106B | 01:52:26.017 | -01:06:48.48 | 1076-0200-52914 |  2.244 |  2.164 | 623.7 | 16973.73 | -1.00 |      0. | 20.45 |  0.00 |  0.00 |  0.00 | 20.19 | 20.06 | 19.63 | 19.91 |  0.00 |  0.00 |  0.00 | 19.71 | 19.55 | 19.15 | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS | SDSSKDEVHSVCV
BOSSJ0152+1407A | 01:52:10.228 | +14:07:18.73 | 4657-0616-55591 | SDSSJ0152+1403B | 01:52:37.263 | +14:03:25.68 | 0430-0479-51877 |  2.327 |  2.051 | 457.1 | 12073.57 | -1.00 |      1. | 18.59 |  0.00 |  0.00 |  0.00 | 18.21 | 18.09 | 17.69 | 18.69 |  0.00 |  0.00 |  0.00 | 18.46 | 18.34 | 18.24 | SDSSBOSSKDEXDQSOZMADDOXVCVALLBOSS | SDSSKDEXDQSOZMADDOX
BOSSJ0152+0038A | 01:52:45.836 | +00:38:49.57 | 4232-0964-55447 | SDSSJ0153+0047B | 01:53:13.209 | +00:47:55.45 | 1504-0534-52940 |  2.253 |  2.046 | 683.0 | 18013.45 | -1.00 |      0. | 19.56 |  0.00 |  0.00 |  0.00 | 19.30 | 19.16 | 18.73 | 20.36 |  0.00 |  0.00 |  0.00 | 20.23 | 20.12 | 20.02 | SDSSAUSBOSSXDQSOZVCVALLBOSS | SDSSKDEXDQSOZVHSVCV
BOSSJ0152-0025A | 01:52:57.234 | -00:25:48.26 | 4233-0420-55449 | SDSSJ0152-0033B | 01:52:41.182 | -00:33:35.32 | 0700-0231-52199 |  2.230 |  2.076 | 525.4 | 13974.36 | -1.00 |      0. | 20.30 |  0.00 |  0.00 |  0.00 | 20.04 | 19.90 | 19.46 | 19.69 |  0.00 |  0.00 |  0.00 | 19.54 | 19.40 | 19.28 | SDSSBOSSKDEALLBOSS | SDSSKDEVHSVCV,APO
BOSSJ0152-0025A | 01:52:57.234 | -00:25:48.26 | 4233-0420-55449 | BOSSJ0152-0034B | 01:52:42.594 | -00:34:20.31 | 4233-0404-55449 |  2.230 |  2.137 | 557.1 | 15057.54 | -1.00 |      0. | 20.30 |  0.00 |  0.00 |  0.00 | 20.04 | 19.90 | 19.46 | 20.15 |  0.00 |  0.00 |  0.00 | 19.97 | 19.79 | 19.49 | SDSSBOSSKDEALLBOSS | APO
BOSSJ0153-0858A | 01:53:13.821 | -08:58:20.69 | 7184-0630-56629 | BOSSJ0153-0857B | 01:53:24.040 | -08:57:23.70 | 7184-0631-56629 |  2.472 |  2.169 | 161.7 | 4408.234 | -1.00 |      8. | 19.20 |  0.00 |  0.00 |  0.00 | 18.82 | 18.76 | 18.38 | 19.07 |  0.00 |  0.00 |  0.00 | 18.88 | 18.72 | 18.31 | SDSSBOSSKDEXDQSOZVCVALLBOSS,APO | SDSSBOSSKDEVCVALLBOSS
BOSSJ0154+0042A | 01:54:04.842 | +00:42:59.87 | 3606-0863-55182 | BOSSJ0154+0036B | 01:54:05.594 | +00:36:50.62 | 3606-0865-55182 |  4.351 |  3.951 | 369.4 | 13363.97 | -1.00 |      1. | 21.25 |  0.00 |  0.00 |  0.00 | 20.89 | 20.62 | 20.73 | 21.28 |  0.00 |  0.00 |  0.00 | 20.89 | 20.74 | 20.81 | BOSS | BOSS
BOSSJ0154-0454A | 01:54:10.831 | -04:54:08.16 | 7051-0116-56574 | BOSSJ0154-0454B | 01:54:12.132 | -04:54:24.67 | 7052-0436-56539 |  2.708 |  2.356 | 25.51 |  726.880 | -1.00 |     77. | 19.90 |  0.00 |  0.00 |  0.00 | 19.50 | 19.59 | 19.52 | 21.10 |  0.00 |  0.00 |  0.00 | 20.78 | 20.68 | 20.28 | MMT-DLA | MMT-DLA
BOSSJ0155-0634A | 01:55:02.719 | -06:34:58.97 | 7164-0964-56597 | BOSSJ0155-0635B | 01:55:04.474 | -06:35:17.47 | 7165-0688-56603 |  3.090 |  2.631 | 32.04 |  966.002 | -1.00 |    108. | 21.30 |  0.00 |  0.00 |  0.00 | 20.85 | 20.93 | 20.87 | 20.42 |  0.00 |  0.00 |  0.00 | 20.01 | 20.04 | 19.89 | MMT-DLA | MMT-DLA
BOSSJ0155-0056A | 01:55:03.248 | -00:56:29.92 | 3606-0134-55182 | BOSSJ0155-0100B | 01:55:15.158 | -01:00:32.79 | 3606-0128-55182 |  2.656 |  2.525 | 301.4 | 8904.985 | -1.00 |      1. | 20.11 |  0.00 |  0.00 |  0.00 | 19.69 | 19.73 | 19.65 | 20.23 |  0.00 |  0.00 |  0.00 | 19.81 | 19.77 | 19.41 | SDSSBOSSKDEXDQSOZVCVALLBOSS | SDSSBOSSKDEXDQSOZALLBOSS
BOSSJ0155-0330A | 01:55:08.334 | -03:30:30.81 | 7051-0950-56574 | BOSSJ0155-0330B | 01:55:10.823 | -03:30:50.39 | 7052-0582-56539 |  2.916 |  2.873 | 42.10 | 1325.073 | -1.00 |     42. | 21.01 |  0.00 |  0.00 |  0.00 | 20.59 | 20.69 | 20.61 | 20.81 |  0.00 |  0.00 |  0.00 | 20.39 | 20.49 | 20.43 | LRIS | LRIS
BOSSJ0155-0100A | 01:55:15.158 | -01:00:32.79 | 3606-0128-55182 | SDSSJ0155-0106B | 01:55:29.336 | -01:06:07.66 | 0700-0085-52199 |  2.525 |  2.053 | 396.6 | 10482.85 | -1.00 |      0. | 20.23 |  0.00 |  0.00 |  0.00 | 19.81 | 19.77 | 19.41 | 19.95 |  0.00 |  0.00 |  0.00 | 19.81 | 19.69 | 19.58 | SDSSBOSSKDEXDQSOZALLBOSS | SDSSKDEXDQSOZ
BOSSJ0155-0100A | 01:55:15.158 | -01:00:32.79 | 3606-0128-55182 | SDSSJ0155-0050B | 01:55:43.826 | -00:50:32.94 | 0403-0290-51871 |  2.525 |  2.034 | 738.0 | 19398.63 | -1.00 |      0. | 20.23 |  0.00 |  0.00 |  0.00 | 19.81 | 19.77 | 19.41 | 18.77 |  0.00 |  0.00 |  0.00 | 18.63 | 18.52 | 18.41 | SDSSBOSSKDEXDQSOZALLBOSS | SDSSAUSKDEXDQSOZMADDOXVHS
BOSSJ0156-0053A | 01:56:08.080 | -00:53:53.49 | 4233-0194-55449 | SDSSJ0155-0050B | 01:55:43.826 | -00:50:32.94 | 0403-0290-51871 |  2.297 |  2.034 | 415.3 | 10918.17 | -1.00 |      1. | 19.84 |  0.00 |  0.00 |  0.00 | 19.54 | 19.42 | 19.01 | 18.77 |  0.00 |  0.00 |  0.00 | 18.63 | 18.52 | 18.41 | SDSSBOSSKDEMADDOXVHSVCVALLBOSS | SDSSAUSKDEXDQSOZMADDOXVHS
BOSSJ0156-0054A | 01:56:33.266 | -00:54:01.97 | 4233-0180-55449 | BOSSJ0156-0053B | 01:56:08.080 | -00:53:53.49 | 4233-0194-55449 |  2.668 |  2.297 | 377.8 | 10622.22 | -1.00 |      0. | 19.06 |  0.00 |  0.00 |  0.00 | 18.63 | 18.69 | 18.61 | 19.84 |  0.00 |  0.00 |  0.00 | 19.54 | 19.42 | 19.01 | SDSSBOSSVHSALLBOSS | SDSSBOSSKDEMADDOXVHSVCVALLBOSS
BOSSJ0157-0112A | 01:57:26.421 | -01:12:29.73 | 7332-0414-56683 | BOSSJ0157-0106B | 01:57:41.569 | -01:06:29.66 | 4233-0178-55449 |  4.403 |  3.571 | 425.7 | 14774.82 | -1.00 |     11. | 17.42 | 17.43 | 17.51 | 18.94 | 17.07 | 16.77 | 16.90 | 18.16 | 17.51 | 17.53 | 17.29 | 17.71 | 17.71 | 17.63 | BOSS | SDSSAUSBOSSKDEMADDOXVHSVCVALLBOSS,MIKE,HIRES
BOSSJ0158-0042A | 01:58:32.523 | -00:42:38.17 | 4234-0417-55478 | SDSSJ0159-0050B | 01:59:04.830 | -00:50:53.88 | 1505-0129-52941 |  2.613 |  2.113 | 693.1 | 18615.47 | -1.00 |      0. | 19.71 |  0.00 |  0.00 |  0.00 | 19.30 | 19.31 | 19.08 | 20.60 |  0.00 |  0.00 |  0.00 | 20.45 | 20.27 | 20.09 | SDSSBOSSKDEMADDOXALLBOSS | SDSSKDEXDQSOZ
BOSSJ0158-0049A | 01:58:51.379 | -00:49:09.82 | 4234-0418-55478 | BOSSJ0158-0042B | 01:58:32.523 | -00:42:38.17 | 4234-0417-55478 |  2.856 |  2.613 | 483.0 | 14515.90 | -1.00 |      1. | 20.81 |  0.00 |  0.00 |  0.00 | 20.40 | 20.51 | 20.44 | 19.71 |  0.00 |  0.00 |  0.00 | 19.30 | 19.31 | 19.08 | SDSSBOSSALLBOSS | SDSSBOSSKDEMADDOXALLBOSS
BOSSJ0159-0032A | 01:59:02.706 | -00:32:24.98 | 4234-0388-55478 | SDSSJ0158-0025B | 01:58:41.881 | -00:25:00.23 | 0700-0076-52199 |  2.455 |  2.039 | 543.4 | 14306.58 | -1.00 |      0. | 20.72 |  0.00 |  0.00 |  0.00 | 20.34 | 20.28 | 19.89 | 19.54 |  0.00 |  0.00 |  0.00 | 19.41 | 19.30 | 19.20 | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS | SDSSKDEXDQSOZVHSVCV
BOSSJ0159-0030A | 01:59:03.744 | -00:30:16.61 | 4234-0390-55478 | BOSSJ0159-0032B | 01:59:02.706 | -00:32:24.98 | 4234-0388-55478 |  2.882 |  2.455 | 129.3 | 3764.222 | -1.00 |      4. | 20.06 |  0.00 |  0.00 |  0.00 | 19.65 | 19.75 | 19.68 | 20.72 |  0.00 |  0.00 |  0.00 | 20.34 | 20.28 | 19.89 | SDSSBOSSVCVALLBOSS | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS
BOSSJ0159+0023A | 01:59:06.384 | +00:23:43.91 | 4233-0922-55449 | SDSSJ0158+0030B | 01:58:52.130 | +00:30:38.16 | 0701-0385-52179 |  2.326 |  2.088 | 466.1 | 12436.95 | -1.00 |      0. | 19.03 |  0.00 |  0.00 |  0.00 | 18.73 | 18.61 | 18.21 | 19.74 |  0.00 |  0.00 |  0.00 | 19.59 | 19.43 | 19.31 | SDSSAUSBOSSKDEXDQSOZMADDOXVCVALLBOSS | SDSSKDEXDQSOZVHSVCV
BOSSJ0159-0017A | 01:59:25.074 | -00:17:55.48 | 4234-0392-55478 | BOSSJ0159-0019B | 01:59:42.167 | -00:19:07.57 | 3609-0462-55201 |  3.278 |  3.237 | 266.3 | 8857.143 | -1.00 |      3. | 18.61 |  0.00 |  0.00 |  0.00 | 18.09 | 18.20 | 18.04 | 20.08 |  0.00 |  0.00 |  0.00 | 19.57 | 19.69 | 19.54 | SDSSAUSBOSSKDEMADDOXVCVALLBOSS | SDSSAUSBOSSVCVALLBOSS
BOSSJ0200+0026A | 02:00:33.475 | +00:26:21.20 | 4233-0986-55449 | BOSSJ0200+0019B | 02:00:08.990 | +00:19:37.19 | 4234-0642-55478 |  2.821 |  2.226 | 546.0 | 15091.29 | -1.00 |      0. | 20.07 |  0.00 |  0.00 |  0.00 | 19.65 | 19.77 | 19.70 | 24.36 |  0.00 |  0.00 |  0.00 | 24.17 | 24.03 | 23.60 | SDSSBOSSVHSALLBOSS | SDSSBOSSKDEXDQSOZALLBOSS
BOSSJ0201+0032A | 02:01:42.250 | +00:32:18.46 | 4234-0772-55478 | SDSSJ0200+0029B | 02:00:56.023 | +00:29:26.69 | 0701-0471-52179 |  2.299 |  2.155 | 714.3 | 19398.00 | -1.00 |      0. | 20.32 |  0.00 |  0.00 |  0.00 | 20.03 | 19.91 | 19.50 | 20.26 |  0.00 |  0.00 |  0.00 | 20.07 | 19.90 | 19.53 | XSHOOTER,MAGE,GMOS-ORIG,APO | SDSSKDEXDQSOZVCV
BOSSJ0201+0032A | 02:01:42.250 | +00:32:18.46 | 4234-0772-55478 | SDSSJ0201+0041B | 02:01:35.262 | +00:41:11.98 | 1074-0332-52937 |  2.299 |  1.903 | 543.7 | 13753.60 | -1.00 |      0. | 20.32 |  0.00 |  0.00 |  0.00 | 20.03 | 19.91 | 19.50 | 19.90 |  0.00 |  0.00 |  0.00 | 19.84 | 19.77 | 19.64 | XSHOOTER,MAGE,GMOS-ORIG,APO | SDSSKDEXDQSOZVHS
BOSSJ0201+0032A | 02:01:42.250 | +00:32:18.46 | 4234-0772-55478 | SDSSJ0202+0023B | 02:02:11.639 | +00:23:12.65 | 1074-0342-52937 |  2.299 |  2.114 | 701.6 | 18846.33 | -1.00 |      0. | 20.32 |  0.00 |  0.00 |  0.00 | 20.03 | 19.91 | 19.50 | 19.40 |  0.00 |  0.00 |  0.00 | 19.25 | 19.07 | 18.88 | XSHOOTER,MAGE,GMOS-ORIG,APO | SDSSKDEXDQSOZVHSVCV
SDSSJ0201+0032A | 02:01:43.488 | +00:32:22.72 | 0701-0487-52179 | SDSSJ0200+0029B | 02:00:56.023 | +00:29:26.69 | 0701-0471-52179 |  2.297 |  2.155 | 733.3 | 19915.15 | -1.00 |      0. | 19.59 |  0.00 |  0.00 |  0.00 | 19.31 | 19.18 | 18.77 | 20.26 |  0.00 |  0.00 |  0.00 | 20.07 | 19.90 | 19.53 | SDSSBOSSKDEXDQSOZMADDOXVHSVCV,XSHOOTER,MAGE,GMOS-ORIG,APO | SDSSKDEXDQSOZVCV
SDSSJ0201+0032A | 02:01:43.488 | +00:32:22.72 | 0701-0487-52179 | SDSSJ0201+0041B | 02:01:35.262 | +00:41:11.98 | 1074-0332-52937 |  2.297 |  1.903 | 543.4 | 13747.02 | -1.00 |      0. | 19.59 |  0.00 |  0.00 |  0.00 | 19.31 | 19.18 | 18.77 | 19.90 |  0.00 |  0.00 |  0.00 | 19.84 | 19.77 | 19.64 | SDSSBOSSKDEXDQSOZMADDOXVHSVCV,XSHOOTER,MAGE,GMOS-ORIG,APO | SDSSKDEXDQSOZVHS
SDSSJ0201+0032A | 02:01:43.488 | +00:32:22.72 | 0701-0487-52179 | SDSSJ0202+0023B | 02:02:11.639 | +00:23:12.65 | 1074-0342-52937 |  2.297 |  2.114 | 693.4 | 18627.51 | -1.00 |      0. | 19.59 |  0.00 |  0.00 |  0.00 | 19.31 | 19.18 | 18.77 | 19.40 |  0.00 |  0.00 |  0.00 | 19.25 | 19.07 | 18.88 | SDSSBOSSKDEXDQSOZMADDOXVHSVCV,XSHOOTER,MAGE,GMOS-ORIG,APO | SDSSKDEXDQSOZVHSVCV
BOSSJ0201-0054A | 02:01:46.207 | -00:54:15.56 | 4234-0258-55478 | BOSSJ0202-0105B | 02:02:04.487 | -01:05:50.01 | 3609-0370-55201 |  2.250 |  2.084 | 746.6 | 19898.82 | -1.00 |      0. | 19.05 |  0.00 |  0.00 |  0.00 | 18.78 | 18.65 | 18.22 | 20.19 |  0.00 |  0.00 |  0.00 | 20.04 | 19.89 | 19.77 | SDSSBOSSKDEMADDOXVCVALLBOSS | SDSSBOSSKDEXDQSOZ
BOSSJ0202-0010A | 02:02:02.647 | -00:10:09.27 | 4234-0234-55478 | BOSSJ0202-0003B | 02:02:03.774 | -00:03:06.08 | 4234-0236-55478 |  2.884 |  2.286 | 423.5 | 11875.54 | -1.00 |      0. | 20.11 |  0.00 |  0.00 |  0.00 | 19.70 | 19.80 | 19.73 | 20.34 |  0.00 |  0.00 |  0.00 | 20.07 | 19.94 | 19.53 | SDSSBOSSKDEVCVALLBOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS
BOSSJ0202-0003A | 02:02:03.774 | -00:03:06.08 | 4234-0236-55478 | SDSSJ0201-0001B | 02:01:27.640 | -00:01:08.69 | 1075-0115-52933 |  2.286 |  1.945 | 554.5 | 14208.33 | -1.00 |      0. | 20.34 |  0.00 |  0.00 |  0.00 | 20.07 | 19.94 | 19.53 | 19.54 |  0.00 |  0.00 |  0.00 | 19.45 | 19.37 | 19.23 | SDSSBOSSKDEXDQSOZVCVALLBOSS | SDSSAUSKDEXDQSOZVCV
BOSSJ0202+0051A | 02:02:52.444 | +00:51:07.79 | 4234-0840-55478 | BOSSJ0202+0053B | 02:02:59.345 | +00:53:07.42 | 4234-0834-55478 |  2.904 |  2.343 | 158.2 | 4494.247 | -1.00 |      4. | 20.25 |  0.00 |  0.00 |  0.00 | 19.84 | 19.93 | 19.86 | 20.03 |  0.00 |  0.00 |  0.00 | 19.71 | 19.61 | 19.21 | SDSSBOSSVHSALLBOSS | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS
BOSSJ0202+0053A | 02:02:59.345 | +00:53:07.42 | 4234-0834-55478 | SDSSJ0203+0057B | 02:03:31.285 | +00:57:41.65 | 1505-0603-52941 |  2.343 |  2.009 | 551.9 | 14408.96 | -1.00 |      0. | 20.03 |  0.00 |  0.00 |  0.00 | 19.71 | 19.61 | 19.21 | 20.34 |  0.00 |  0.00 |  0.00 | 20.23 | 20.13 | 20.01 | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS | SDSSKDEXDQSOZVHSVCV
BOSSJ0202+0053A | 02:02:59.345 | +00:53:07.42 | 4234-0834-55478 | SDSSJ0203+0059B | 02:03:34.951 | +00:59:55.59 | 1505-0607-52941 |  2.343 |  2.030 | 672.1 | 17649.14 | -1.00 |      0. | 20.03 |  0.00 |  0.00 |  0.00 | 19.71 | 19.61 | 19.21 | 19.94 |  0.00 |  0.00 |  0.00 | 19.81 | 19.70 | 19.60 | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS | SDSSXDQSOZVHSVCV
BOSSJ0203+0548A | 02:03:00.392 | +05:48:13.64 | 4401-0496-55510 | SDSSJ0203+0541B | 02:03:22.710 | +05:41:46.45 | 3116-0132-54792 |  2.509 |  2.027 | 510.7 | 13398.18 | -1.00 |      0. | 20.88 |  0.00 |  0.00 |  0.00 | 20.44 | 20.39 | 20.02 | 19.15 |  0.00 |  0.00 |  0.00 | 18.99 | 18.88 | 18.77 | BOSS | SEGUE2
BOSSJ0203+0056A | 02:03:08.542 | +00:56:26.08 | 4234-0832-55478 | BOSSJ0202+0051B | 02:02:52.444 | +00:51:07.79 | 4234-0840-55478 |  3.063 |  2.904 | 399.5 | 12638.32 | -1.00 |      1. | 20.32 |  0.00 |  0.00 |  0.00 | 19.88 | 19.96 | 19.90 | 20.25 |  0.00 |  0.00 |  0.00 | 19.84 | 19.93 | 19.86 | SDSSBOSSKDEVHSVCVALLBOSS | SDSSBOSSVHSALLBOSS
BOSSJ0203-0259A | 02:03:13.622 | -02:59:18.63 | 4347-0296-55830 | BOSSJ0203-0302B | 02:03:03.277 | -03:02:15.08 | 4347-0290-55830 |  3.200 |  2.925 | 234.8 | 7454.485 | -1.00 |      2. | 21.02 |  0.00 |  0.00 |  0.00 | 20.53 | 20.64 | 20.52 | 20.66 |  0.00 |  0.00 |  0.00 | 20.25 | 20.34 | 20.27 | BOSS | BOSS
BOSSJ0203+0039A | 02:03:27.292 | +00:39:38.21 | 4234-0848-55478 | BOSSJ0203+0042B | 02:03:28.350 | +00:42:22.27 | 3609-0722-55201 |  2.301 |  2.168 | 164.8 | 4490.710 | -1.00 |      3. | 18.53 |  0.00 |  0.00 |  0.00 | 18.25 | 18.12 | 17.71 | 20.08 |  0.00 |  0.00 |  0.00 | 19.88 | 19.72 | 19.31 | SDSSBOSSKDEXDQSOZMADDOXVHSVCVALLBOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS
SDSSJ0203-0002A | 02:03:41.340 | -00:02:35.11 | 0701-0075-52179 | SDSSJ0203-0010B | 02:03:03.128 | -00:10:22.26 | 0701-0078-52179 |  1.984 |  1.963 | 739.4 | 19048.52 | -1.00 |      0. | 19.66 |  0.00 |  0.00 |  0.00 | 19.56 | 19.47 | 19.34 | 19.59 |  0.00 |  0.00 |  0.00 | 19.51 | 19.42 | 19.28 | SDSSKDEXDQSOZ,LRIS | SDSSKDEXDQSOZVHSVCV
SDSSJ0203-0002A | 02:03:41.340 | -00:02:35.11 | 0701-0075-52179 | SDSSJ0203-0002B | 02:03:40.403 | -00:02:01.84 | 1505-0037-52941 |  1.984 |  1.739 | 36.12 |  865.618 | -1.00 |     98. | 19.66 |  0.00 |  0.00 |  0.00 | 19.56 | 19.47 | 19.34 | 19.10 |  0.00 |  0.00 |  0.00 | 19.01 | 18.88 | 18.90 | SDSSKDEXDQSOZ,LRIS | SDSSKDEVCV,LRIS
SDSSJ0203-0002A | 02:03:41.340 | -00:02:35.11 | 0701-0075-52179 | SDSSJ0204-0006B | 02:04:10.185 | -00:06:22.75 | 0701-0067-52179 |  1.984 |  1.786 | 488.9 | 11910.03 | -1.00 |      0. | 19.66 |  0.00 |  0.00 |  0.00 | 19.56 | 19.47 | 19.34 | 19.31 |  0.00 |  0.00 |  0.00 | 19.27 | 19.20 | 19.10 | SDSSKDEXDQSOZ,LRIS | SDSSVHSVCV
BOSSJ0204+0058A | 02:04:37.361 | +00:58:21.20 | 3609-0796-55201 | BOSSJ0204+0056B | 02:04:46.740 | +00:56:28.30 | 3609-0794-55201 |  2.794 |  2.621 | 180.3 | 5428.359 | -1.00 |      3. | 19.85 |  0.00 |  0.00 |  0.00 | 19.45 | 19.56 | 19.49 | 20.36 |  0.00 |  0.00 |  0.00 | 19.95 | 19.97 | 19.77 | SDSSBOSSVHSALLBOSS | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS
BOSSJ0204+0018A | 02:04:43.418 | +00:18:16.80 | 4234-0938-55478 | BOSSJ0204+0013B | 02:04:47.323 | +00:13:44.64 | 4234-0936-55478 |  2.882 |  2.443 | 278.4 | 8084.787 | -1.00 |      1. | 20.10 |  0.00 |  0.00 |  0.00 | 19.69 | 19.79 | 19.72 | 20.37 |  0.00 |  0.00 |  0.00 | 19.99 | 19.93 | 19.54 | SDSSBOSSVHSVCVALLBOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS
BOSSJ0204-0010A | 02:04:59.890 | -00:10:48.54 | 4234-0112-55478 | SDSSJ0205-0009B | 02:05:29.200 | -00:09:12.87 | 0404-0175-51877 |  2.564 |  2.385 | 449.9 | 12902.58 | -1.00 |      0. | 20.01 |  0.00 |  0.00 |  0.00 | 19.59 | 19.57 | 19.22 | 20.08 |  0.00 |  0.00 |  0.00 | 19.74 | 19.66 | 19.26 | SDSSBOSSKDEVCVALLBOSS | SDSSAUSBOSSMADDOXVHSVCVALLBOSS
SDSSJ0205-0009A | 02:05:29.200 | -00:09:12.87 | 0404-0175-51877 | SDSSJ0205+0000B | 02:05:11.381 | +00:00:46.18 | 1074-0422-52937 |  2.385 |  1.979 | 655.9 | 16976.37 | -1.00 |      0. | 20.08 |  0.00 |  0.00 |  0.00 | 19.74 | 19.66 | 19.26 | 19.92 |  0.00 |  0.00 |  0.00 | 19.83 | 19.74 | 19.60 | SDSSAUSBOSSMADDOXVHSVCVALLBOSS | SDSSKDEVCV
BOSSJ0206+0048A | 02:06:29.327 | +00:48:43.07 | 4235-0638-55451 | SDSSJ0206+0052B | 02:06:56.191 | +00:52:04.62 | 1074-0449-52937 |  2.499 |  1.993 | 450.5 | 11704.54 | -1.00 |      0. | 18.61 |  0.00 |  0.00 |  0.00 | 18.20 | 18.15 | 17.78 | 20.06 |  0.00 |  0.00 |  0.00 | 19.95 | 19.86 | 19.73 | SDSSBOSSKDEMADDOXVHSALLBOSS | SDSSKDEXDQSOZVHSVCV
SDSSJ0206-0021A | 02:06:47.983 | -00:21:33.58 | 0404-0157-51812 | BOSSJ0207-0019B | 02:07:19.655 | -00:19:59.88 | 4234-0006-55478 |  3.976 |  3.405 | 484.2 | 16465.79 | -1.00 |      5. |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 |  0.00 | 18.66 |  0.00 |  0.00 |  0.00 | 18.12 | 18.18 | 18.06 | SDSS | SDSSBOSSMADDOXVHSVCVALLBOSS
BOSSJ0206-0045A | 02:06:54.129 | -00:45:02.21 | 4234-0002-55478 | BOSSJ0206-0055B | 02:06:56.947 | -00:55:57.09 | 3609-0130-55201 |  2.626 |  2.247 | 656.2 | 18229.30 | -1.00 |      0. | 20.75 |  0.00 |  0.00 |  0.00 | 20.32 | 20.35 | 20.18 | 19.64 |  0.00 |  0.00 |  0.00 | 19.36 | 19.23 | 18.80 | SDSSBOSSKDEVHSVCVALLBOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS
BOSSJ0206-0103A | 02:06:54.845 | -01:03:46.31 | 4235-0380-55451 | BOSSJ0206-0055B | 02:06:56.947 | -00:55:57.09 | 3609-0130-55201 |  2.719 |  2.247 | 470.2 | 13063.20 | -1.00 |      0. | 21.59 |  0.00 |  0.00 |  0.00 | 21.17 | 21.27 | 21.19 | 19.64 |  0.00 |  0.00 |  0.00 | 19.36 | 19.23 | 18.80 | BOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS
BOSSJ0206+2809A | 02:06:56.385 | +28:09:46.48 | 6270-0997-56273 | BOSSJ0207+2811B | 02:07:21.909 | +28:11:48.44 | 6270-0990-56273 |  5.880 |  5.383 | 358.8 | 14534.50 | -1.00 |      2. | 20.69 |  0.00 |  0.00 |  0.00 | 20.26 | 20.11 | 19.88 | 21.98 |  0.00 |  0.00 |  0.00 | 21.78 | 21.56 | 21.45 | BOSS | BOSS
BOSSJ0207+0004A | 02:07:50.065 | +00:04:07.72 | 3609-0940-55201 | BOSSJ0208+0006B | 02:08:31.325 | +00:06:18.17 | 4235-0738-55451 |  2.994 |  2.597 | 632.5 | 18948.01 | -1.00 |      0. | 20.54 |  0.00 |  0.00 |  0.00 | 20.10 | 20.20 | 20.12 | 20.00 |  0.00 |  0.00 |  0.00 | 19.57 | 19.58 | 19.28 | SDSSBOSSALLBOSS | SDSSBOSSKDEXDQSOZVHSALLBOSS
